integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
5582,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,5.20 х 0.75 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5583,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,3.00 х 3.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5584,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.00 х 1.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5585,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,5.20 х 0.75 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5586,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.00 х 1.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5587,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.00 х 1.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5588,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.00 х 1.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5589,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,1.00 х 1.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5590,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,2.00 х 3.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5591,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,5.20 х 0.75 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
5592,"Публічне акціонерне товариство ""Банк Восток""",Кронштейн на фасаді,0.96 х 0.65 х 2,Сумська вул. 56,2022-09-20,null,null,2017-09-20,null,null
5593,Фізична особа-підприємець Ляшенко Леонід Володимирович,Щит на фасаді,1.70 х 0.87 х 1,Науки просп. 41/43,2023-03-28,null,null,2018-03-28,null,null
5594,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,7.20 х 0.90 х 1,Сумська вул. 59,2022-12-27,null,null,2017-12-27,null,null
5595,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,21.50 х 0.90 х 1,Амурська вул. - Академіка Павлова вул. 165-В,2022-10-25,null,null,2017-10-25,null,null
5596,"Товариство з обмеженою відповідальністю ""Центр фінансових рішень""",Щит на фасаді,5.36 х 0.55 х 1,Героїв Праці вул. 18,2023-09-26,null,null,2018-09-26,null,null
5597,"Товариство з обмеженою відповідальністю ""Центр фінансових рішень""",Щит на фасаді,5.36 х 2.80 х 1,Героїв Праці вул. 18,2023-09-26,null,null,2018-09-26,null,null
5598,"Товариство з обмеженою відповідальністю ""Центр фінансових рішень""",Щит на фасаді,0.67 х 2.53 х 1,Героїв Праці вул. 18,2023-09-26,null,null,2018-09-26,null,null
5599,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,1.00 х 1.00 х 1,Гіршмана вул. 16,2022-12-27,null,null,2017-12-27,null,null
5600,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.00 х 2.00 х 1,Гіршмана вул. 16,2022-12-27,null,null,2017-12-27,null,null
5601,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 1.50 х 1,Гіршмана вул. 16,2022-12-27,null,null,2017-12-27,null,null
5602,Фізична особа-підприємець Антіпіна Оксана Анатоліївна,Щит на фасаді,6.20 х 6.10 х 1,Валентинівська вул. 23-Е,2022-10-11,null,null,2017-10-11,null,null
5603,"Товариство з обмеженою відповідальністю ""Ультраспецмонтаж""",Щит на фасаді,9.15 х 1.25 х 1,Маршала Жукова просп. - Героїв Сталінграда просп. 171,2022-10-11,null,null,2017-10-11,null,null
5604,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,4.00 х 1.38 х 1,Ньютона вул. - Фонвізіна вул. 15,2023-01-17,null,null,2018-01-17,null,null
5605,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,1.06 х 1.50 х 1,Ньютона вул. - Фонвізіна вул. 15,2023-01-17,null,null,2018-01-17,null,null
5606,"Товариство з обмеженою відповідальністю ""Ренн торг""",Щит на фасаді,5.73 х 1.98 х 1,Архітектора Альошина просп. - Миру вул. 20,2020-12-31,4317,2020-12-31,2018-04-25,null,null
5607,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,1.90 х 0.65 х 1,Дружби Народів вул. 249/80,2023-01-17,null,null,2018-01-17,null,null
5608,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,1.70 х 1.71 х 1,Дружби Народів вул. 249/80,2023-01-17,null,null,2018-01-17,null,null
5609,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.36 х 0.36 х 1,Дружби Народів вул. 249/80,2023-01-17,null,null,2018-01-17,null,null
5610,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.26 х 2.40 х 1,Дружби Народів вул. 249/80,2023-07-25,null,null,2018-07-25,null,null
5611,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.26 х 2.40 х 1,Дружби Народів вул. 249/80,2023-07-25,null,null,2018-07-25,null,null
5612,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,1.06 х 1.50 х 1,Дружби Народів вул. 249/80,2023-07-25,null,null,2018-07-25,null,null
5613,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,1.06 х 1.50 х 1,Дружби Народів вул. 249/80,2023-07-25,null,null,2018-07-25,null,null
5614,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.60 х 1.94 х 1,Дружби Народів вул. 249/80,2023-01-17,null,null,2018-01-17,null,null
5615,"Товариство з обмеженою відповідальністю ""Соллі плюс""",Прапор,1.50 х 4.50 х 3,Мереф'янське шосе 13,2022-06-30,4957,2022-06-30,2018-01-17,null,null
5616,Фізична особа-підприємець Кулеба Вікторія Анатоліївна,Кронштейн на фасаді,0.70 х 0.70 х 2,Квітки-Основ'яненка вул. - Конституції м-н 1,2024-01-17,null,null,2019-01-17,null,null
5617,"Товариство з обмеженою відповідальністю ""Рекламна компанія ""Віал-С""",Щит стаціонарний,6.00 х 3.00 х 2,Олександрівський просп. - Садовопаркова вул.,2022-06-30,5031,2022-06-30,2017-10-25,null,null
